Label,Question,Response Options
Data Analysis,How comfortable are you with analyzing datasets to extract insights?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
People Interaction,How comfortable are you with working directly with people?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Data Entry,How comfortable are you with completing repetitive tasks like data entry?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Problem Solving,How comfortable are you with solving complex problems?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Innovation,How comfortable are you with coming up with new ideas or solutions?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Communication,How comfortable are you with explaining complex ideas to others?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Teamwork,How comfortable are you with collaborating in a team environment?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Autonomy,How comfortable are you with working independently with minimal supervision?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Attention to Detail,How comfortable are you with focusing on small details to ensure accuracy?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Big Picture Thinking,How comfortable are you with considering long-term strategies in your work?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Leadership,How comfortable are you with leading a team or project?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Technical Skills,How comfortable are you with using the technical tools needed for your work?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Adaptability,How comfortable are you with adjusting to new tasks or environments?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Creativity,How comfortable are you with developing creative solutions to problems?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Time Management,How comfortable are you with managing your time and meeting deadlines?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Process Optimization,How comfortable are you with improving processes or workflows?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Mentorship,How comfortable are you with providing guidance to others?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Risk Management,How comfortable are you with assessing and managing risks?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Project Management,How comfortable are you with organizing and managing projects?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Customer Focus,How comfortable are you with understanding and addressing customer needs?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Initiative,How comfortable are you with taking the initiative to start tasks without being prompted?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Team Self-Organization,How comfortable are you with organizing a team to meet objectives?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Emotional Intelligence,How comfortable are you with recognizing and managing emotions in yourself and others?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Conflict Resolution,How comfortable are you with resolving conflicts within a team?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Decision Making,How comfortable are you with making decisions under pressure?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Resilience,How comfortable are you with handling setbacks or changes in your work?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Cultural Awareness,How comfortable are you with working with people from diverse backgrounds?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
Learning Agility,How comfortable are you with quickly learning and applying new skills?,"Not at all comfortable, Slightly comfortable, Moderately comfortable, Very comfortable, Extremely comfortable"
